code,creator,created_t,created_datetime,last_modified_t,last_modified_datetime,product_name,brands,brands_tags,countries,countries_tags,countries_fr,ingredients_text,serving_size,additives_n,additives,nutrition_grade_fr,states,states_tags,states_fr,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,nutrition-score-fr_100g
16285,usda-ndb-import,1489061746,2017-03-09T12:15:46Z,1489061746,2017-03-09T12:15:46Z,Marinara Sauce,Trader Joe's,trader-joe-s,US,en:united-states,États-Unis,"Whole, unpeeled tomatoes, extra heavy tomato puree, cold pressed extra virgin olive oil, onions, herbs, garlic, salt.",125 g (0.5 cup),0.0, [ whole -> en:whole  ]  [ unpeeled-tomatoes -> en:unpeeled-tomatoes  ]  [ tomatoes -> en:tomatoes  ]  [ extra-heavy-tomato-puree -> en:extra-heavy-tomato-puree  ]  [ heavy-tomato-puree -> en:heavy-tomato-puree  ]  [ tomato-puree -> en:tomato-puree  ]  [ puree -> en:puree  ]  [ cold-pressed-extra-virgin-olive-oil -> en:cold-pressed-extra-virgin-olive-oil  ]  [ pressed-extra-virgin-olive-oil -> en:pressed-extra-virgin-olive-oil  ]  [ extra-virgin-olive-oil -> en:extra-virgin-olive-oil  ]  [ virgin-olive-oil -> en:virgin-olive-oil  ]  [ olive-oil -> en:olive-oil  ]  [ oil -> en:oil  ]  [ onions -> en:onions  ]  [ herbs -> en:herbs  ]  [ garlic -> en:garlic  ]  [ salt -> en:salt  ] ,b,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded","A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer",201.0,1.6,0.0,5.6,3.2,1.6,2.4,0.75184,0.296,0.0
35927,usda-ndb-import,1489061323,2017-03-09T12:08:43Z,1489061323,2017-03-09T12:08:43Z,Wild Alaskan Pink Salmon,Meijer,meijer,US,en:united-states,États-Unis,"Alaskan pink salmon, salt.",63 g (2.2 oz),0.0, [ alaskan-pink-salmon -> en:alaskan-pink-salmon  ]  [ pink-salmon -> en:pink-salmon  ]  [ salmon -> en:salmon  ]  [ salt -> en:salt  ] ,b,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded","A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques à compléter,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer",598.0,7.94,1.59,0.0,0.0,0.0,19.05,0.9271,0.365,1.0
36559,tacinte,1421942083,2015-01-22T15:54:43Z,1437482582,2015-07-21T12:43:02Z,Mac 'n Cheese,Joe's Diner,joe-s-diner,United States,en:united-states,États-Unis,"COOKED ELBOW MACARONI (WATER, ENRICHED SEMOLINA [DURUM _WHEAT_, SEMOLINA, NIACIN, FERROUS SULFATE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID]), _MILK_, CHEDDAR CHEESE (PASTEURIZED COW'S _MILK_, CHEESE CULTURE, SALT RENNET, CALCIUM CHLORIDE), IMPORTED GOUDA CHEESE (PASTEURIZED COW'S MILK, CHEESE CULTURES, RENNET, SALTS, CAROTENE [COLOR]), IMPORTED SWISS CHEESE (PART SKIM COW'S _MILK_, CHEESE CULTURES, SALT, ENZYMES), UNBLEACHED FLOUR (UNBLEACHED _WHEAT_ FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (PASTEURIZED CREAM, SALT, ANNATTO [COLOR]), MODIFIED RICE STARCH, SALT, SPICES",198 g,5.0, [ cooked-elbow-macaroni -> en:cooked-elbow-macaroni  ]  [ elbow-macaroni -> en:elbow-macaroni  ]  [ macaroni -> en:macaroni  ]  [ water -> en:water  ]  [ enriched-semolina -> en:enriched-semolina  ]  [ semolina -> en:semolina  ]  [ durum-wheat -> en:durum-wheat  ]  [ wheat -> en:wheat  ]  [ semolina -> en:semolina  ]  [ niacin -> en:e375  -> exists  -- ok  ]  [ ferrous-sulfate -> en:ferrous-sulfate  ]  [ sulfate -> en:sulfate  ]  [ thiamine-mononitrate -> en:thiamine-mononitrate  ]  [ mononitrate -> en:mononitrate  ]  [ riboflavin -> en:e101  -> exists  -- ok  ]  [ folic-acid -> en:folic-acid  ]  [ acid -> en:acid  ]  [ milk -> en:milk  ]  [ cheddar-cheese -> en:cheddar-cheese  ]  [ cheese -> en:cheese  ]  [ pasteurized-cow-s-milk -> en:pasteurized-cow-s-milk  ]  [ cow-s-milk -> en:cow-s-milk  ]  [ s-milk -> en:s-milk  ]  [ milk -> en:milk  ]  [ cheese-culture -> en:cheese-culture  ]  [ culture -> en:culture  ]  [ salt-rennet -> en:salt-rennet  ]  [ rennet -> en:rennet  ]  [ calcium-chloride -> en:e509  -> exists  -- ok  ]  [ imported-gouda-cheese -> en:imported-gouda-cheese  ]  [ gouda-cheese -> en:gouda-cheese  ]  [ cheese -> en:cheese  ]  [ pasteurized-cow-s-milk -> en:pasteurized-cow-s-milk  ]  [ cow-s-milk -> en:cow-s-milk  ]  [ s-milk -> en:s-milk  ]  [ milk -> en:milk  ]  [ cheese-cultures -> en:cheese-cultures  ]  [ cultures -> en:cultures  ]  [ rennet -> en:rennet  ]  [ salts -> en:salts  ]  [ carotene -> en:e160  -> exists  -- ok  ]  [ color -> en:fd-c  ]  [ imported-swiss-cheese -> en:imported-swiss-cheese  ]  [ swiss-cheese -> en:swiss-cheese  ]  [ cheese -> en:cheese  ]  [ part-skim-cow-s-milk -> en:part-skim-cow-s-milk  ]  [ skim-cow-s-milk -> en:skim-cow-s-milk  ]  [ cow-s-milk -> en:cow-s-milk  ]  [ s-milk -> en:s-milk  ]  [ milk -> en:milk  ]  [ cheese-cultures -> en:cheese-cultures  ]  [ cultures -> en:cultures  ]  [ salt -> en:salt  ]  [ enzymes -> en:enzymes  ]  [ unbleached-flour -> en:unbleached-flour  ]  [ flour -> en:flour  ]  [ unbleached-wheat-flour -> en:unbleached-wheat-flour  ]  [ wheat-flour -> en:wheat-flour  ]  [ flour -> en:flour  ]  [ niacin -> en:e375  ]  [ reduced-iron -> en:reduced-iron  ]  [ iron -> en:iron  ]  [ thiamine-mononitrate -> en:thiamine-mononitrate  ]  [ mononitrate -> en:mononitrate  ]  [ riboflavin -> en:e101  ]  [ folic-acid -> en:folic-acid  ]  [ acid -> en:acid  ]  [ butter -> en:butter  ]  [ pasteurized-cream -> en:pasteurized-cream  ]  [ cream -> en:cream  ]  [ salt -> en:salt  ]  [ annatto -> en:e160b  -> exists  -- ok  ]  [ color -> en:fd-c  ]  [ modified-rice-starch -> en:modified-rice-starch  ]  [ rice-starch -> en:rice-starch  ]  [ starch -> en:starch  ]  [ salt -> en:salt  ]  [ spices -> en:spices  ] ,c,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","A vérifier,Complet,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,Caractéristiques complétées,Catégories complétées,Marques complétées,Emballage complété,Quantité complétée,Nom du produit complete,Photos validées,Photos envoyées",761.0,7.58,4.04,21.2,1.52,0.505,8.08,0.757,0.298,4.0
328814,usda-ndb-import,1489065976,2017-03-09T13:26:16Z,1489065976,2017-03-09T13:26:16Z,Blenheim Variety Extra Choice Apricots,Trader Joe's,trader-joe-s,US,en:united-states,États-Unis,"Apricots, sulfur dioxide.",40 g (40 g),1.0, [ apricots -> en:apricots  ]  [ sulfur-dioxide -> en:e220  -> exists  -- ok  ] ,c,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded","A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer",1151.0,0.0,0.0,62.5,42.5,5.0,2.5,0.0,0.0,7.0
334612,usda-ndb-import,1489063089,2017-03-09T12:38:09Z,1489063089,2017-03-09T12:38:09Z,Pizza Sauce,Mario Batali,mario-batali,US,en:united-states,États-Unis,"Imported san marzano plum tomatoes, tomato puree, imported italian extra virgin olive oil, anchovies (fish), fresh basil, sea salt, ground black pepper.",64 g (0.25 cup),0.0, [ imported-san-marzano-plum-tomatoes -> en:imported-san-marzano-plum-tomatoes  ]  [ san-marzano-plum-tomatoes -> en:san-marzano-plum-tomatoes  ]  [ marzano-plum-tomatoes -> en:marzano-plum-tomatoes  ]  [ plum-tomatoes -> en:plum-tomatoes  ]  [ tomatoes -> en:tomatoes  ]  [ tomato-puree -> en:tomato-puree  ]  [ puree -> en:puree  ]  [ imported-italian-extra-virgin-olive-oil -> en:imported-italian-extra-virgin-olive-oil  ]  [ italian-extra-virgin-olive-oil -> en:italian-extra-virgin-olive-oil  ]  [ extra-virgin-olive-oil -> en:extra-virgin-olive-oil  ]  [ virgin-olive-oil -> en:virgin-olive-oil  ]  [ olive-oil -> en:olive-oil  ]  [ oil -> en:oil  ]  [ anchovies -> en:anchovies  ]  [ fish -> en:fish  ]  [ fresh-basil -> en:fresh-basil  ]  [ basil -> en:basil  ]  [ sea-salt -> en:sea-salt  ]  [ salt -> en:salt  ]  [ ground-black-pepper -> en:ground-black-pepper  ]  [ black-pepper -> en:black-pepper  ]  [ pepper -> en:pepper  ] ,b,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded","A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer",259.0,4.69,0.0,4.69,3.12,1.6,1.56,0.91186,0.359,1.0
353786,usda-ndb-import,1489059886,2017-03-09T11:44:46Z,1489059886,2017-03-09T11:44:46Z,Oriental Rice Crackers,Trader Joe's,trader-joe-s,US,en:united-states,États-Unis,"Glutinous rice, soy sauce (soy bean, wheat, salt, water), sugar, modified starch (tapioca, potato), seaweed, chili, paprika oleoresin (as natural color).",30 g (0.5 cup),2.0, [ glutinous-rice -> en:glutinous-rice  ]  [ rice -> en:rice  ]  [ soy-sauce -> en:soy-sauce  ]  [ sauce -> en:sauce  ]  [ soy-bean -> en:soy-bean  ]  [ bean -> en:bean  ]  [ wheat -> en:wheat  ]  [ salt -> en:salt  ]  [ water -> en:water  ]  [ sugar -> en:sugar  ]  [ modified-starch -> en:e1401  -> exists  -- ok  ]  [ tapioca -> en:tapioca  ]  [ potato -> en:potato  ]  [ seaweed -> en:seaweed  ]  [ chili -> en:chili  ]  [ paprika-oleoresin -> en:e160c  -> exists  -- ok  ]  [ as-natural-color -> en:as-natural-color  ]  [ natural-color -> en:natural-color  ]  [ color -> en:fd-c  ] ,c,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded","A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer",1536.0,0.0,0.0,86.67,3.33,6.7,6.67,1.69418,0.667,6.0
531870,usda-ndb-import,1489143340,2017-03-10T10:55:40Z,1489143340,2017-03-10T10:55:40Z,Organic Juice Blend,Trader Joe's,trader-joe-s,US,en:united-states,États-Unis,"Organic pomegranate juice, organic tart cherry juice, organic black mulberry juice, organic red grape juice, organic purple carrot juice, organic cranberry juice, organic blueberry juice.",240 ml (8 fl oz),0.0, [ organic-pomegranate-juice -> en:organic-pomegranate-juice  ]  [ pomegranate-juice -> en:pomegranate-juice  ]  [ juice -> en:juice  ]  [ organic-tart-cherry-juice -> en:organic-tart-cherry-juice  ]  [ tart-cherry-juice -> en:tart-cherry-juice  ]  [ cherry-juice -> en:cherry-juice  ]  [ juice -> en:juice  ]  [ organic-black-mulberry-juice -> en:organic-black-mulberry-juice  ]  [ black-mulberry-juice -> en:black-mulberry-juice  ]  [ mulberry-juice -> en:mulberry-juice  ]  [ juice -> en:juice  ]  [ organic-red-grape-juice -> en:organic-red-grape-juice  ]  [ red-grape-juice -> en:red-grape-juice  ]  [ grape-juice -> en:grape-juice  ]  [ juice -> en:juice  ]  [ organic-purple-carrot-juice -> en:organic-purple-carrot-juice  ]  [ purple-carrot-juice -> en:purple-carrot-juice  ]  [ carrot-juice -> en:carrot-juice  ]  [ juice -> en:juice  ]  [ organic-cranberry-juice -> en:organic-cranberry-juice  ]  [ cranberry-juice -> en:cranberry-juice  ]  [ juice -> en:juice  ]  [ organic-blueberry-juice -> en:organic-blueberry-juice  ]  [ blueberry-juice -> en:blueberry-juice  ]  [ juice -> en:juice  ] ,b,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded","A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer",192.0,0.0,0.0,11.67,10.42,0.0,0.42,0.03048,0.012,2.0
607537,tacinte,1439131310,2015-08-09T14:41:50Z,1492072859,2017-04-13T08:40:59Z,(Barcode Clash) Houmous with extra virgin olive oil et Yaourt,Marks & Spencer,marks-spencer,France,en:france,France,Pois chiches cuits (42%) (Eau Pois chiches) Huile de colza • Eau • Tahini (Pâte de graines de _sésame_) • Huile d'olive vierge extra Jus de citron concentré • Sel • Ail,1 cup (225g),0.0, [ pois-chiches-cuits -> en:pois-chiches-cuits  ]  [ chiches-cuits -> en:chiches-cuits  ]  [ cuits -> en:cuits  ]  [ 42 -> en:42  ]  [ eau-pois-chiches-huile-de-colza -> en:eau-pois-chiches-huile-de-colza  ]  [ pois-chiches-huile-de-colza -> en:pois-chiches-huile-de-colza  ]  [ chiches-huile-de-colza -> en:chiches-huile-de-colza  ]  [ huile-de-colza -> en:huile-de-colza  ]  [ de-colza -> en:de-colza  ]  [ colza -> en:colza  ]  [ eau -> en:eau  ]  [ tahini -> en:tahini  ]  [ pate-de-graines-de-sesame -> en:pate-de-graines-de-sesame  ]  [ de-graines-de-sesame -> en:de-graines-de-sesame  ]  [ graines-de-sesame -> en:graines-de-sesame  ]  [ de-sesame -> en:de-sesame  ]  [ sesame -> en:sesame  ]  [ huile-d-olive-vierge-extra-jus-de-citron-concentre -> en:huile-d-olive-vierge-extra-jus-de-citron-concentre  ]  [ d-olive-vierge-extra-jus-de-citron-concentre -> en:d-olive-vierge-extra-jus-de-citron-concentre  ]  [ olive-vierge-extra-jus-de-citron-concentre -> en:olive-vierge-extra-jus-de-citron-concentre  ]  [ vierge-extra-jus-de-citron-concentre -> en:vierge-extra-jus-de-citron-concentre  ]  [ extra-jus-de-citron-concentre -> en:extra-jus-de-citron-concentre  ]  [ jus-de-citron-concentre -> en:jus-de-citron-concentre  ]  [ de-citron-concentre -> en:de-citron-concentre  ]  [ citron-concentre -> en:citron-concentre  ]  [ concentre -> en:concentre  ]  [ sel -> en:sel  ]  [ ail -> en:ail  ] ,c,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","A vérifier,Complet,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques complétées,Catégories complétées,Marques complétées,Emballage complété,Quantité complétée,Nom du produit complete,Photos validées,Photos envoyées",1385.0,29.4,3.3,7.9,0.6,5.2,6.1,1.13,0.444881889763779,6.0
664424,openfoodfacts-contributors,1380795062,2013-10-03T10:11:02Z,1485512570,2017-01-27T10:22:50Z,Pressed British Apple & Pear Juice,Marks & Spencer,marks-spencer,"France,United Kingdom","en:france,en:united-kingdom","France,Royaume-Uni","British Apple Juice 69%, British Pear Purée 30%, Antioxidant: Ascorbic Acid  ",250ml,1.0, [ british-apple-juice-69 -> en:british-apple-juice-69  ]  [ apple-juice-69 -> en:apple-juice-69  ]  [ juice-69 -> en:juice-69  ]  [ 69 -> en:69  ]  [ british-pear-puree-30 -> en:british-pear-puree-30  ]  [ pear-puree-30 -> en:pear-puree-30  ]  [ puree-30 -> en:puree-30  ]  [ 30 -> en:30  ]  [ antioxidant -> en:antioxidant  ]  [ ascorbic-acid -> en:e300  -> exists  -- ok  ] ,b,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:packaging-code-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded","A vérifier,Complet,Informations nutritionnelles complétées,Ingrédients complétés,Date limite complétée,en:Packaging-code-to-be-completed,Caractéristiques complétées,Catégories complétées,Marques complétées,Emballage complété,Quantité complétée,Nom du produit complete,Photos validées,Photos envoyées",195.0,0.1,0.1,10.4,10.4,0.7,0.2,0.0100076,0.00394,2.0
886178,usda-ndb-import,1489061751,2017-03-09T12:15:51Z,1489061752,2017-03-09T12:15:52Z,Alfredo Pasta Sauce,Trader Giotto's,trader-giotto-s,US,en:united-states,États-Unis,"Water, cream, parmesan cheese (milk, cheese cultures, salt, microbial rennet), romano cheese (milk, cheese cultures, salt, microbial rennet), butter, modified egg yolk (egg yolks, salt, enzymes), modified corn starch, salt, natural cheddar cheese flavor, sugar, xanthan gum, roasted garlic puree, black pepper, onion powder, lactic acid, nutmeg.",62 g (0.25 cup),2.0, [ water -> en:water  ]  [ cream -> en:cream  ]  [ parmesan-cheese -> en:parmesan-cheese  ]  [ cheese -> en:cheese  ]  [ milk -> en:milk  ]  [ cheese-cultures -> en:cheese-cultures  ]  [ cultures -> en:cultures  ]  [ salt -> en:salt  ]  [ microbial-rennet -> en:microbial-rennet  ]  [ rennet -> en:rennet  ]  [ romano-cheese -> en:romano-cheese  ]  [ cheese -> en:cheese  ]  [ milk -> en:milk  ]  [ cheese-cultures -> en:cheese-cultures  ]  [ cultures -> en:cultures  ]  [ salt -> en:salt  ]  [ microbial-rennet -> en:microbial-rennet  ]  [ rennet -> en:rennet  ]  [ butter -> en:butter  ]  [ modified-egg-yolk -> en:modified-egg-yolk  ]  [ egg-yolk -> en:egg-yolk  ]  [ yolk -> en:yolk  ]  [ egg-yolks -> en:egg-yolks  ]  [ yolks -> en:yolks  ]  [ salt -> en:salt  ]  [ enzymes -> en:enzymes  ]  [ modified-corn-starch -> en:modified-corn-starch  ]  [ corn-starch -> en:corn-starch  ]  [ starch -> en:starch  ]  [ salt -> en:salt  ]  [ natural-cheddar-cheese-flavor -> en:natural-cheddar-cheese-flavor  ]  [ cheddar-cheese-flavor -> en:cheddar-cheese-flavor  ]  [ cheese-flavor -> en:cheese-flavor  ]  [ flavor -> en:flavor  ]  [ sugar -> en:sugar  ]  [ xanthan-gum -> en:e415  -> exists  -- ok  ]  [ roasted-garlic-puree -> en:roasted-garlic-puree  ]  [ garlic-puree -> en:garlic-puree  ]  [ puree -> en:puree  ]  [ black-pepper -> en:black-pepper  ]  [ pepper -> en:pepper  ]  [ onion-powder -> en:onion-powder  ]  [ powder -> en:powder  ]  [ lactic-acid -> en:e270  -> exists  -- ok  ]  [ nutmeg -> en:nutmeg  ] ,d,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded","A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer",540.0,11.29,7.26,4.84,1.61,0.0,3.23,1.14808,0.452,13.0
